6147	area-servers	Check if the service is HTTP or HTTPS on IIS when running on Kestrel with AspNetCoreModule	I am developing running my application on Kestrel behind IIS.It is deployed in a way described [here](https://docs.microsoft.com/en-us/aspnet/core/host-and-deploy/aspnet-core-module?view=aspnetcore-2.1). ![image](https://user-images.githubusercontent.com/6485506/50490357-6533df00-0a15-11e9-9f50-7ccea6594514.png)The service is configured on IIS with preload enabled, therefore the service is up and running before I have any request routed to it.In the context of my application code I need to register to an external service discovery with an externally accessible URL. My challenge is concluding whether my URL is HTTP or HTTPS. Since the Kestrel always configured as HTTP (in this topology), and the HTTPS may be configured on IIS I don't see any way to extract this info.Any chance there is some place where can I get this information during run time?
6143	area-signalr	[SignalR] Unexpected behavior with `StreamAsChannelAsync` and `ReadAsync`	### Describe the bugHub method is called when `ChannelReader.ReadAsync` is called on the client side. I would've expected that calling `StreamAsChannelAsync` would call the hub method.  I have a integration test where I call the `StreamAs..` method to get the reader. Then I write a message to the channel on server side and then try to read the value from the reader. This does not work as expected as the actual hub method is not getting called when I call the `Stream..` but gets called later when I try to read the value.### To ReproduceSteps to reproduce the behavior:1. Using this version of ASP.NET Core '2.2'2. Run this code 'todo'3. With these arguments 'todo'4. See error### Expected behaviorWhen calling `StreamAs...` method I get a ChannelReader. I would expect that when this call was made the actual hub method on the server side would be called at this point. Now it seems that the call is made when I call ChannelReader.ReadAsync method. ### Additional contextAdd any other context about the problem here.Include the output of `dotnet --info`
6142	area-signalr	@aspnet/signalr-protocol-msgpack NPM production build fails	### Describe the bugI'm using SignalR with message pack protocol, if i try to do a productin build of my NPM application, the following error is thrown:`node_modules/@aspnet/signalr-protocol-msgpack/dist/esm/MessagePackHubProtocol.d.ts(16,5): error TS2416: Property 'parseMessages' in type 'MessagePackHubProtocol' is not assignable to the same property in base type 'IHubProtocol'.  Type '(input: ArrayBuffer | Buffer, logger: ILogger) => HubMessage[]' is not assignable to type '(input: string | ArrayBuffer, logger: ILogger) => HubMessage[]'.    Types of parameters 'input' and 'input' are incompatible.      Type 'string | ArrayBuffer' is not assignable to type 'ArrayBuffer | Buffer'.        Type 'string' is not assignable to type 'ArrayBuffer | Buffer'.`### To ReproduceSteps to reproduce the behavior:package.json `    "@aspnet/signalr": "^1.1.0",    "@aspnet/signalr-protocol-msgpack": "^1.1.0",`### Expected behaviorNo compilation error caused by  @aspnet/signalr-protocol-msgpackThanks in advance for your help!
6140	area-servers	.net core 2.2 appends the environment variable value from web.config file and from user's system	_From @jsowndarrajan on Wednesday, 26 December 2018 07:17:54_# Issue TitleEnvironment variable in `web.config` file get appended into system environment variable # GeneralRecently, I'm facing a strange issue while hosting .net core 2.2 application on IIS.After hosting, I get "An error occurred while starting the application". In order to identify the root cause I enabled the log file and found that its because of environment variable issue.I configured the environment variable in my `web.config` file as like below, at the same time I also configured the same (ASPNETCORE_ENVIRONMENT) environment variable in my system.```<aspNetCore processPath="dotnet" arguments=".\PctrClient.Api.dll" stdoutLogEnabled="true" stdoutLogFile=".\logs\stdout" hostingModel="InProcess">    <environmentVariables>      <environmentVariable name="ASPNETCORE_ENVIRONMENT" value="Development" />    </environmentVariables>  </aspNetCore>```  But when I try to host this application in IIS, I get ASPNETCORE_ENVIRONMENT variable value as `Development;Development`, instead of `Development`. I think, application is now appending both system environment value and web.config variable value together.Program.cs```public class Program{    public static void Main(string[] args)    {        CreateWebHostBuilder(args).Build().Run();    }    public static IWebHostBuilder CreateWebHostBuilder(string[] args) =>        WebHost.CreateDefaultBuilder(args)               .UseStartup<Startup>()               .UseIISIntegration();}```From my perceptive, `web.config` should override the system environment variable value.Please let me know if you need any other information from my end._Copied from original issue: dotnet/core#2184_
6134	area-mvc	Razor's GetRelatedDocuments does not work if a host documents TargetPath starts with / or \	### Describe the bugIf someone sets the target path of a Razor file to begin with a `/` or a `\` the [ProjectState](https://github.com/aspnet/AspNetCore-Tooling/blob/a04addb86f88cf1321e27d0e9f5440585934cffc/src/Razor/src/Microsoft.CodeAnalysis.Razor.Workspaces/ProjectSystem/ProjectState.cs#L444) will incorrectly track its related documents because it normalizes the target path on caching but doesn't re-normalize when trying to lookup a related document.
6131	area-signalr	Re-Enable AspNetCore-SignalR-Daily-Tests	
6127	area-servers	Graceful shutdown has problems	https://dnceng.visualstudio.com/public/_build/results?buildId=63309We need more logging to determine whats happening.```Starting test execution, please wait...2018-12-26T05:23:06.8651889Z   [xUnit.net 00:00:14.23]     EmitsConnectionStartAndStop [FAIL]2018-12-26T05:23:06.8657652Z   Failed   EmitsConnectionStartAndStop2018-12-26T05:23:06.8660915Z   Error Message:2018-12-26T05:23:06.8663498Z    The collection was expected to contain a single element, but it was empty.2018-12-26T05:23:06.8678877Z   Stack Trace:2018-12-26T05:23:06.8680079Z      at Microsoft.AspNetCore.Server.Kestrel.InMemory.FunctionalTests.EventSourceTests.EmitsConnectionStartAndStop() in /_/src/Servers/Kestrel/test/InMemory.FunctionalTests/EventSourceTests.cs:line 642018-12-26T05:23:06.8688487Z   --- End of stack trace from previous location where exception was thrown ---2018-12-26T05:23:06.8690531Z   Standard Output Messages:2018-12-26T05:23:06.8691414Z    | [0.001s] TestLifetime Information: Starting test EmitsConnectionStartAndStop at 2018-12-26T05:22:532018-12-26T05:23:06.8691822Z    | [0.003s] Microsoft.AspNetCore.Hosting.Internal.WebHost Debug: Hosting starting2018-12-26T05:23:06.8692254Z    | [0.004s] Microsoft.AspNetCore.Hosting.Internal.WebHost Debug: Hosting started2018-12-26T05:23:06.8692580Z    | [0.004s] Microsoft.AspNetCore.Hosting.Internal.WebHost Debug: Loaded hosting startup assembly testhost2018-12-26T05:23:06.8692958Z    | [0.004s] Microsoft.AspNetCore.Server.Kestrel Debug: Connection id "0HLJAU8N3AQEG" started.2018-12-26T05:23:06.8693451Z    | [0.520s] Microsoft.AspNetCore.Hosting.Internal.WebHost Information: Request starting HTTP/1.1 GET http:///  2018-12-26T05:23:06.8693839Z    | [0.520s] Microsoft.AspNetCore.Server.Kestrel Debug: Connection id "0HLJAU8N3AQEG" completed keep alive response.2018-12-26T05:23:06.8694341Z    | [0.533s] Microsoft.AspNetCore.Hosting.Internal.WebHost Information: Request finished in 12.9394ms 200 2018-12-26T05:23:06.8694802Z    | [4.383s] Microsoft.AspNetCore.Hosting.Internal.WebHost Debug: Hosting shutdown2018-12-26T05:23:06.8695120Z    | [9.412s] Microsoft.AspNetCore.Server.Kestrel Debug: Some connections failed to close gracefully during server shutdown.2018-12-26T05:23:06.8695520Z    | [9.415s] Microsoft.AspNetCore.Server.Kestrel Debug: Connection id "0HLJAU8N3AQEG" closing because: "The connection was aborted because the server is shutting down and request processing didn't complete within the time specified by HostOptions.ShutdownTimeout."2018-12-26T05:23:06.8696095Z    | [10.379s] Microsoft.AspNetCore.Server.Kestrel Debug: Connection id "0HLJAU8N3AQEG" closing because: "The client closed the connection."2018-12-26T05:23:06.8703112Z    | [10.379s] Microsoft.AspNetCore.Server.Kestrel Debug: Connection id "0HLJAU8N3AQEG" disconnecting.2018-12-26T05:23:06.8706229Z    | [10.429s] Microsoft.AspNetCore.Server.Kestrel Debug: Some connections failed to abort during server shutdown.2018-12-26T05:23:06.8711344Z    | [10.586s] Microsoft.AspNetCore.Server.Kestrel Debug: Connection id "0HLJAU8N3AQEG" stopped.2018-12-26T05:23:06.8714695Z    | [10.679s] TestLifetime Information: Finished test EmitsConnectionStartAndStop in 10.6787548s```
6126	area-mvc	Core MVC: Route based on query string	### Is your feature request related to a problem? Please describe.Actions which only differ by the query string parameters are not routing; I get a "multiple best matches" error.Example: I'm writing an API which returns "Today in History" data. The action names are the same.- One action takes no parameters, and returns all of our history data.- One takes a date parameter, and returns any data for that date- One takes a start and end parameter, and returns all historical data we have for that range (inclusive).I wrote the API, and expected it to work - but the 3 actions are considered the same for routing purposes, and I got a "multiple best matches" error.### Describe the solution you'd likeIf actions differ only by the query parameters they recieve, an action which best uses the request query string should be considered more of a match.### Describe alternatives you've consideredI wrote a custom `IActionConstraint`. It works great, and (kudos to the Core MVC team) it wasn't so crazy to write - I didn't even have to go to stackoverflow! But I think this is valuable functionality which should be accessible from "stock' Core MVC.I saw online reference to making a ViewModel, and that if you mark the desired properties as required and from the query string, it'll be taken into account vis a vis routing. I didn't look into it, because I didn't want to create countless models for trivial parameters.Also, one of my goals is that my action methods should look like normal methods. This helps readability/maintainability. A normal method takes e.g. a DateTime, not a ViewModel with a DateTime property.Another solution would be to have one action which takes all the valid query parameters, and then write logic to do the right thing based on the parameters which were used. I didn't want to do that, because one of the benefits of Core MVC is I can write declarative code rather than error prone and verbose imperative code.### Additional context[Here is a gist](https://gist.github.com/yringler/eb10736533f2e63e54fcbac6a95d752e) of the `IActionConstraint` I wrote to get the desired functionality.
6125	area-signalr	Trying to load signalr from static import module loader 	### Describe the bugI am trying to load signalr using the new browser feature in which they can load modules without using webpack. That way I will be able to work faster because I can just change the code, save, reload and see the new code working.I have copied from node_modules the esm folder and pointed from javascript to it. The problem I see is that using type="module" requires pointing to javascript files, no the name. For instance:export { HubConnection } from "./HubConnection.js"; <-- this would workexport { HubConnection } from "./HubConnection"; <-- this doesn't workThis explains it better:https://developers.google.com/web/fundamentals/primers/modules#specifiers ### To ReproduceSteps to reproduce the behavior:1. using asp.net core 2.1 and copied the signalr/esm folder into the wwwroot2. importing   <script src="~/js/signalr/esm/index.js" type="module" ></script>   3. fails with 404s because it can not find the modulesif I put .js at the end of the module names in the "~/js/signalr/esm/index.js" file, for instance export { HubConnectionBuilder } from "./HubConnectionBuilder";toexport { HubConnectionBuilder } from "./HubConnectionBuilder.js";it starts to work but I would need to change every internal reference.### Expected behaviorMaybe having another esm compilation with the file extensions could help.Thanks!
6123	area-servers	why does  AspNetCore.Hosting.Internal.WebHost|Hosting shutdown after App start ?	I run my asp net core by IIs, I find that Hosting shutdown when app has been started. I run a background task on asp.net core by using IHostedService feature. I has set the startMode of IIs  to AlwaysRunning.my asp net core version is 2.1. I attach img screenshot about my log output![tim 20181226180232](https://user-images.githubusercontent.com/29353661/50442511-33017f00-093a-11e9-91f7-f13b2eb58dcb.png)
